Designator,Mid X,Mid Y,Rotation,Layer
C1,155.194,-68.313,90,top
C10,166.37,-67.691,90,top
C11,163.817,-65.786,0,top
C12,163.817,-64.262,0,top
C13,176.771,-72.898,0,top
C14,176.771,-74.422,0,top
C15,156.451,-64.262,180,top
C16,156.451,-65.786,180,top
C17,154.686,-74.168,180,top
C18,154.686,-72.644,180,top
C19,172.847,-73.66,90,top
C2,153.67,-68.313,270,top
C20,174.092,-124.363,0,top
C21,174.092,-125.857,0,top
C22,156.083,-98.9255,90,top
C23,150.876,-100.678,270,top
C24,153.784,-102.723,180,top
C25,164.453,-126.873,270,top
C26,165.977,-126.873,270,top
C27,169.025,-126.873,270,top
C28,159.893,-114.3,180,top
C29,159.893,-123.45,180,top
C3,150.762,-77.724,180,top
C30,159.88,-124.968,180,top
C31,159.893,-115.824,180,top
C32,159.88,-121.92,180,top
C33,159.88,-118.872,0,top
C34,155.575,-106.807,0,top
C4,150.736,-73.152,180,top
C5,170.549,-126.86,270,top
C6,167.501,-126.873,270,top
C7,175.616,-116.713,0,top
C8,175.616,-122.555,180,top
C9,167.894,-67.691,90,top
D3,173.355,-65.913,0,top
D5,145.669,-103.316,270,top
D6,149.414,-91.186,180,top
D7,152.081,-91.186,0,top
F1,140.462,-91.694,270,top
FB1,162.941,-126.873,90,top
J1,143.88725,-68.58,0,top
J2,148.52,-117.094,270,top
J3,140.97,-99.822,270,top
J4,145.288,-82.18575,270,top
J5,171.45,-100.33,0,top
L1,156.083,-101.9865,270,top
R1,150.686,-74.676,180,top
R10,150.876,-97.58,270,top
R11,153.226,-96.881,0,top
R12,168.021,-108.712,90,top
R13,164.973,-108.712,90,top
R14,146.431,-97.917,0,top
R15,166.497,-108.712,90,top
R16,163.449,-108.712,90,top
R17,174.371,-73.66,90,top
R18,173.292,-67.564,0,top
R19,159.893,-110.744,0,top
R2,150.749,-76.2,0,top
R20,159.893,-112.522,0,top
R21,159.893,-117.348,180,top
R22,159.893,-120.396,180,top
R23,155.575,-105.283,180,top
R3,146.05,-128.016,180,top
R4,146.05,-129.54,180,top
R5,159.893,-126.492,180,top
R6,146.431,-101.092,0,top
R7,178.042,-119.126,90,top
R8,171.069,-108.712,90,top
R9,169.545,-108.712,90,top
SW1,154.747,-86.868,0,top
SW2,154.747,-81.534,0,top
U1,167.513,-119.38,270,top
U10,153.477,-99.822,180,top
U2,168.86,-86.46,270,top
U3,160.147,-70.358,270,top
Y1,175.375,-119.634,90,top
